Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Apgar_VC', 'Apgar_VC_parking')","[""'01341"", ""'01401"", ""'01511"", ""'02221"", ""'02271"", ""'02281"", ""'02291"", ""'02411"", ""'02421"", ""'05311"", ""'06181"", ""'06521"", ""'06541"", ""'07221"", ""'07451"", ""'09201"", ""'10331"", ""'1321"", ""'16311"", ""'17461"", ""'17541"", ""'19521"", ""'21381"", ""'24041"", ""'24541"", ""'25171"", ""'25201""]",27,"[4124.0, 15253.0, 21594.0, 7402.0, 2683.0, 765.0, 4170.0, 26664.0, 2700.0, 44215.0, 2031.0, 600.0, 12281.0, 2329.0, 8345.0, 480.0, 2312.0, 6568.0, 405.0, 16306.0, 34849.0, 1010.0, 1590.0, 6255.0, 2595.0, 10800.0, 930.0]","['2023-07-02 19:37:24', '2023-07-02 17:34:18', '2023-07-02 16:16:38', '2023-07-05 17:08:08', '2023-07-05 07:14:43', '2023-07-05 15:12:17', '2023-07-05 07:13:58', '2023-07-05 07:33:07', '2023-07-05 08:52:49', '2023-07-10 12:40:16', '2023-07-11 11:11:22', '2023-07-11 10:27:22', '2023-07-11 15:00:06', '2023-07-12 18:00:26', '2023-07-12 20:02:12', '2023-07-16 09:44:01', '2023-07-18 16:12:17', '2023-07-02 10:10:30', '2023-07-30 17:12:24', '2023-07-31 18:59:31', '2023-07-30 17:59:18', '2023-08-01 15:03:50', '2023-08-03 15:42:11', '2023-08-07 08:04:27', '2023-08-07 17:25:04', '2023-08-08 10:02:01', '2023-08-08 10:35:59']","['2023-07-02 23:34:09', '2023-07-03 05:49:52', '2023-07-03 04:17:02', '2023-07-05 23:56:20', '2023-07-05 08:01:56', '2023-07-05 15:25:17', '2023-07-05 23:01:26', '2023-07-05 17:59:05', '2023-07-05 15:30:34', '2023-07-11 01:25:11', '2023-07-11 11:45:43', '2023-07-11 10:37:37', '2023-07-11 18:25:02', '2023-07-12 18:56:23', '2023-07-13 05:25:58', '2023-07-16 09:52:16', '2023-07-18 16:51:04', '2023-07-02 13:53:12', '2023-07-30 17:26:09', '2023-08-01 00:13:17', '2023-07-31 11:13:20', '2023-08-01 15:20:55', '2023-08-03 23:53:55', '2023-08-07 13:50:42', '2023-08-07 20:44:48', '2023-08-08 22:33:58', '2023-08-08 10:51:44']","[236.75, 735.5666666666667, 720.4, 408.2, 47.21666666666667, 13.0, 947.4666666666667, 625.9666666666667, 397.75, 764.9166666666666, 34.35, 10.25, 204.93333333333334, 55.95, 563.7666666666667, 8.25, 38.78333333333333, 222.7, 13.75, 313.76666666666665, 1034.0333333333333, 17.083333333333332, 491.73333333333335, 346.25, 199.73333333333332, 751.95, 15.75]"
"('Apgar_VC_parking', 'Apgar_village')","[""'01371"", ""'02091"", ""'02251"", ""'06461"", ""'07351"", ""'19181"", ""'20381"", ""'25161""]",8,"[45314.0, 960.0, 15405.0, 2175.0, 1785.0, 9150.0, 285.0, 1665.0]","['2023-07-02 17:07:13', '2023-07-05 07:44:47', '2023-07-05 09:04:44', '2023-07-11 10:18:18', '2023-07-12 18:46:38', '2023-08-01 16:03:32', '2023-08-02 13:50:28', '2023-08-08 12:26:19']","['2023-07-03 05:44:55', '2023-07-05 15:38:02', '2023-07-05 13:23:14', '2023-07-11 10:56:48', '2023-07-12 19:18:23', '2023-08-01 18:38:17', '2023-08-02 13:57:58', '2023-08-08 13:02:19']","[757.7, 473.25, 258.5, 38.5, 31.75, 154.75, 7.5, 36.0]"
"('Apgar_VC',)","[""'01501"", ""'05081"", ""'07121"", ""'07131"", ""'07541"", ""'09111"", ""'11111"", ""'11411"", ""'11421"", ""'11531"", ""'13241"", ""'14081"", ""'14191"", ""'14221"", ""'14321"", ""'15011"", ""'15161"", ""'15251"", ""'15271"", ""'15421"", ""'15461"", ""'15501"", ""'15532"", ""'17021"", ""'17041"", ""'17321"", ""'19011"", ""'19041"", ""'19241"", ""'19331"", ""'19461"", ""'20291"", ""'21141"", ""'21231"", ""'21351"", ""'21501"", ""'23041"", ""'23071"", ""'23201"", ""'23291"", ""'24321""]",41,"[21552.0, 180.0, 18939.0, 3031.0, 149.0, 12460.0, 20273.0, 8127.0, 150.0, 14517.0, 46590.0, 31858.0, 1125.0, 56257.0, 28444.0, 1110.0, 180.0, 18680.0, 8813.0, 1335.0, 8005.0, 6930.0, 540.0, 10755.0, 21540.0, 47253.0, 3675.0, 10523.0, 419.0, 22835.0, 5915.0, 8741.0, 24373.0, 2033.0, 31770.0, 225.0, 390.0, 165.0, 19508.0, 5998.0, 21523.0]","['2023-07-02 18:43:04', '2023-07-10 18:51:19', '2023-07-12 20:54:56', '2023-07-12 18:03:59', '2023-07-12 18:27:32', '2023-07-16 14:09:20', '2023-07-20 20:44:32', '2023-07-20 21:32:50', '2023-07-20 18:38:08', '2023-07-20 09:50:33', '2023-07-24 13:47:26', '2023-07-26 19:04:21', '2023-07-26 19:50:47', '2023-07-26 17:41:42', '2023-07-26 22:30:19', '2023-07-27 14:22:23', '2023-07-28 00:00:14', '2023-07-27 20:34:26', '2023-07-27 20:18:12', '2023-07-27 11:23:18', '2023-07-27 10:29:14', '2023-07-27 20:21:19', '2023-07-28 02:14:32', '2023-07-31 18:09:06', '2023-07-31 19:32:21', '2023-07-31 19:41:29', '2023-08-01 09:33:35', '2023-08-01 07:48:53', '2023-08-01 17:12:34', '2023-08-01 19:49:24', '2023-08-01 08:12:57', '2023-08-02 20:30:55', '2023-08-03 16:10:27', '2023-08-03 18:22:40', '2023-08-03 17:39:23', '2023-08-03 16:09:30', '2023-08-06 20:41:14', '2023-08-06 16:52:51', '2023-08-06 16:46:01', '2023-08-06 16:18:03', '2023-08-07 16:49:35']","['2023-07-03 05:33:02', '2023-07-10 18:54:19', '2023-07-13 04:31:03', '2023-07-12 18:54:30', '2023-07-12 18:30:01', '2023-07-16 17:37:45', '2023-07-21 03:00:16', '2023-07-21 03:19:18', '2023-07-20 18:40:38', '2023-07-21 03:44:03', '2023-07-25 02:44:11', '2023-07-27 03:55:19', '2023-07-26 20:09:32', '2023-07-27 09:34:50', '2023-07-27 07:38:05', '2023-07-27 14:40:53', '2023-07-28 00:03:14', '2023-07-28 02:36:16', '2023-07-28 00:21:21', '2023-07-27 11:45:33', '2023-07-27 20:32:50', '2023-07-28 02:18:19', '2023-07-28 02:23:32', '2023-07-31 21:17:21', '2023-08-01 06:09:36', '2023-08-01 09:18:32', '2023-08-01 10:34:50', '2023-08-02 01:28:00', '2023-08-01 17:19:33', '2023-08-02 02:15:59', '2023-08-01 09:51:32', '2023-08-03 01:54:20', '2023-08-03 23:42:21', '2023-08-03 23:54:42', '2023-08-04 02:28:53', '2023-08-03 16:13:15', '2023-08-06 23:47:50', '2023-08-06 16:55:36', '2023-08-07 00:36:10', '2023-08-06 17:58:01', '2023-08-07 22:48:18']","[649.9666666666667, 3.0, 456.1166666666667, 50.516666666666666, 2.4833333333333334, 208.41666666666666, 375.73333333333335, 346.46666666666664, 2.5, 1073.5, 776.75, 530.9666666666667, 18.75, 953.1333333333333, 547.7666666666667, 18.5, 3.0, 361.8333333333333, 243.15, 22.25, 603.6, 357.0, 9.0, 188.25, 637.25, 817.05, 61.25, 1059.1166666666666, 6.983333333333333, 386.5833333333333, 98.58333333333333, 323.4166666666667, 451.9, 332.03333333333336, 529.5, 3.75, 186.6, 2.75, 470.15, 99.96666666666667, 358.71666666666664]"
"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')","[""'02061"", ""'02111"", ""'02181"", ""'03041"", ""'05541"", ""'06171"", ""'09381"", ""'1512"", ""'20041""]",9,"[12197.0, 2910.0, 18353.0, 11475.0, 3390.0, 10108.0, 495.0, 2145.0, 23997.0]","['2023-07-05 15:28:55', '2023-07-05 07:21:58', '2023-07-05 07:32:05', '2023-07-05 07:56:04', '2023-07-10 08:19:54', '2023-07-11 10:13:10', '2023-07-16 15:51:29', '2023-07-27 13:25:36', '2023-08-02 16:19:21']","['2023-07-05 19:02:40', '2023-07-05 15:32:43', '2023-07-06 00:32:08', '2023-07-05 14:06:34', '2023-07-10 17:11:36', '2023-07-11 14:03:38', '2023-07-16 16:25:44', '2023-07-27 14:45:21', '2023-08-02 23:58:17']","[213.75, 490.75, 1020.05, 370.5, 531.7, 230.46666666666667, 34.25, 79.75, 458.93333333333334]"
"('Apgar_VC_parking',)","[""'02081"", ""'02101"", ""'02361"", ""'02521"", ""'0355"", ""'05011"", ""'05121"", ""'05131"", ""'05231"", ""'06021"", ""'06511"", ""'06531"", ""'07161"", ""'07521"", ""'09041"", ""'09501"", ""'10081"", ""'10361"", ""'10531"", ""'14421"", ""'16021"", ""'16521"", ""'25281"", ""'25311"", ""'25431""]",25,"[465.0, 375.0, 18930.0, 16630.0, 120.0, 405.0, 165.0, 1470.0, 1365.0, 1680.0, 315.0, 16020.0, 330.0, 150.0, 570.0, 555.0, 600.0, 495.0, 345.0, 600.0, 1080.0, 600.0, 180.0, 570.0, 390.0]","['2023-07-05 07:17:12', '2023-07-05 08:07:35', '2023-07-05 08:25:45', '2023-07-05 08:28:16', '2023-07-12 20:33:09', '2023-07-10 09:07:28', '2023-07-10 08:38:05', '2023-07-10 16:41:20', '2023-07-10 08:22:37', '2023-07-11 11:13:46', '2023-07-12 21:02:59', '2023-07-11 12:57:32', '2023-07-12 18:30:52', '2023-07-12 18:40:13', '2023-07-16 17:00:17', '2023-07-16 15:16:41', '2023-07-18 16:40:23', '2023-07-18 16:05:50', '2023-07-18 17:38:02', '2023-07-26 19:04:01', '2023-07-30 16:01:40', '2023-07-30 16:48:45', '2023-08-08 20:45:47', '2023-08-08 11:32:38', '2023-08-08 12:32:49']","['2023-07-05 07:24:57', '2023-07-05 08:13:50', '2023-07-05 14:10:30', '2023-07-05 20:34:41', '2023-07-12 20:35:09', '2023-07-10 09:35:43', '2023-07-10 08:40:50', '2023-07-10 17:05:50', '2023-07-10 08:45:22', '2023-07-11 11:41:46', '2023-07-12 21:08:14', '2023-07-11 17:24:32', '2023-07-12 18:38:37', '2023-07-12 18:42:43', '2023-07-16 17:10:17', '2023-07-16 15:25:56', '2023-07-18 16:50:23', '2023-07-18 16:18:43', '2023-07-18 17:43:47', '2023-07-26 21:32:31', '2023-07-30 16:19:40', '2023-07-30 16:58:45', '2023-08-08 20:48:47', '2023-08-08 11:44:23', '2023-08-08 12:55:04']","[7.75, 6.25, 344.75, 726.4166666666666, 2.0, 28.25, 2.75, 24.5, 22.75, 28.0, 5.25, 267.0, 7.75, 2.5, 10.0, 9.25, 10.0, 12.883333333333333, 5.75, 148.5, 18.0, 10.0, 3.0, 11.75, 22.25]"
"('Apgar_campground', 'Apgar_village')","[""'02211"", ""'05211"", ""'16121"", ""'25321""]",4,"[3090.0, 3090.0, 900.0, 645.0]","['2023-07-05 13:17:00', '2023-07-05 13:17:00', '2023-07-30 15:46:20', '2023-08-08 10:50:21']","['2023-07-05 14:09:45', '2023-07-05 14:09:45', '2023-07-30 16:58:35', '2023-08-08 11:06:21']","[52.75, 52.75, 72.25, 16.0]"
"('Apgar_village',)","[""'02231"", ""'02301"", ""'02331"", ""'02431"", ""'02541"", ""'04301"", ""'05141"", ""'05221"", ""'05401"", ""'05441"", ""'07411"", ""'09151"", ""'09341"", ""'09421"", ""'16291"", ""'16531"", ""'25071"", ""'25391""]",18,"[2910.0, 285.0, 210.0, 8848.0, 4652.0, 285.0, 3152.0, 1848.0, 122.0, 330.0, 1125.0, 3750.0, 7035.0, 11775.0, 2535.0, 4260.0, 5219.0, 945.0]","['2023-07-05 13:16:58', '2023-07-05 15:37:25', '2023-07-05 08:03:37', '2023-07-05 08:54:44', '2023-07-05 15:00:04', '2023-07-05 15:37:25', '2023-07-10 16:11:26', '2023-07-11 14:38:43', '2023-07-10 21:02:36', '2023-07-10 09:34:19', '2023-07-13 08:51:02', '2023-07-16 13:37:20', '2023-07-16 14:23:33', '2023-07-16 14:34:37', '2023-07-30 16:19:35', '2023-07-30 16:41:48', '2023-08-08 14:11:54', '2023-08-08 12:36:03']","['2023-07-05 16:49:43', '2023-07-05 15:42:10', '2023-07-05 08:07:07', '2023-07-05 13:08:57', '2023-07-05 16:17:36', '2023-07-05 15:42:10', '2023-07-10 17:06:28', '2023-07-11 15:12:46', '2023-07-10 21:04:38', '2023-07-10 09:39:49', '2023-07-13 09:09:47', '2023-07-16 14:39:50', '2023-07-16 16:20:48', '2023-07-16 17:50:52', '2023-07-30 17:06:50', '2023-07-30 17:52:48', '2023-08-08 15:38:53', '2023-08-08 17:28:48']","[212.75, 4.75, 3.5, 254.21666666666667, 77.53333333333333, 4.75, 55.03333333333333, 34.05, 2.033333333333333, 5.5, 18.75, 62.5, 117.25, 196.25, 47.25, 71.0, 86.98333333333333, 292.75]"
"('Apgar_VC_parking', 'Apgar_campground', 'Apgar_village')","[""'02511"", ""'05171"", ""'16171""]",3,"[20265.0, 8970.0, 62202.0]","['2023-07-05 07:40:56', '2023-07-10 09:12:38', '2023-07-30 17:36:30']","['2023-07-05 14:04:11', '2023-07-10 16:03:23', '2023-07-31 11:02:42']","[383.25, 410.75, 1046.2]"
"('Apgar_campground',)","[""'02531"", ""'06131"", ""'07251"", ""'09291"", ""'16011"", ""'16321"", ""'23011""]",7,"[150.0, 345.0, 59535.0, 645.0, 525.0, 315.0, 13425.0]","['2023-07-06 01:07:19', '2023-07-11 11:32:45', '2023-07-12 18:53:02', '2023-07-16 10:43:29', '2023-07-30 20:50:07', '2023-07-30 21:12:08', '2023-08-06 15:42:33']","['2023-07-06 01:09:49', '2023-07-11 11:38:30', '2023-07-13 11:25:17', '2023-07-16 10:54:14', '2023-07-30 20:58:52', '2023-07-30 21:17:23', '2023-08-06 19:26:18']","[2.5, 5.75, 992.25, 10.75, 8.75, 5.25, 223.75]"
"('Apgar_VC', 'Apgar_campground', 'Apgar_village')","[""'16181""]",1,[22770.0],['2023-07-31 21:15:34'],['2023-08-01 06:02:04'],[526.5]
"('Apgar_VC_parking', 'Apgar_campground')","[""'16221"", ""'19021""]",2,"[2805.0, 25125.0]","['2023-07-30 16:59:00', '2023-08-01 14:42:14']","['2023-07-30 21:42:15', '2023-08-01 21:50:29']","[283.25, 428.25]"
"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_campground', 'Apgar_village')","[""'16351""]",1,[59620.0],['2023-07-30 17:58:12'],['2023-07-31 10:55:37'],[1017.4166666666666]
"('Apgar_VC', 'Apgar_village')","[""'20081""]",1,[13934.0],['2023-08-02 15:22:37'],['2023-08-03 05:19:22'],[836.75]
"('Apgar_VC_parking', 'Apgar_village', 'Rocky_point_trail')","[""'25291""]",1,[8343.0],['2023-08-08 11:19:38'],['2023-08-08 15:11:11'],[231.55]
