ID,Trip_Order,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'01031,"('LakeMcDonald', 'Avalanche', 'Logan', 'Avalanche', 'LakeMcDonald')",10874.0,2023-07-02 11:50:55,2023-07-02 16:35:41,284.76666666666665
'01061,"('LakeMcDonald', 'Avalanche', 'Logan', 'RisingSun', 'SunPoint', 'Waterfalls', 'Logan', 'Loop', 'Avalanche')",13133.0,2023-07-02 11:21:43,2023-07-02 18:30:55,429.2
'01241,"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald')",11566.0,2023-07-02 12:05:23,2023-07-02 17:11:19,305.93333333333334
'01341,"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald', 'Apgar')",14114.0,2023-07-02 12:05:19,2023-07-02 23:34:09,688.8333333333334
'01371,"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",61049.0,2023-07-02 12:05:35,2023-07-03 05:44:55,1059.3333333333333
'01401,"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",28811.0,2023-07-02 13:29:18,2023-07-03 05:49:52,980.5666666666667
'01501,"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald', 'Apgar')",32577.0,2023-07-02 12:46:00,2023-07-03 05:33:02,1007.0333333333333
'01511,"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",26379.0,2023-07-02 12:05:23,2023-07-03 04:17:02,971.65
'02011,"('Logan', 'Waterfalls', 'LakeMcDonald')",2802.0,2023-07-05 09:25:39,2023-07-05 12:45:07,199.46666666666667
'02021,"('Logan', 'Loop', 'Logan')",33617.0,2023-07-05 09:12:16,2023-07-05 19:06:36,594.3333333333334
'02031,"('LakeMcDonald', 'Logan', 'Waterfalls', 'RisingSun', 'SunPoint', 'LakeMcDonald')",9286.0,2023-07-05 07:54:28,2023-07-05 18:17:24,622.9333333333333
'02061,"('Avalanche', 'Apgar')",26942.0,2023-07-05 09:14:40,2023-07-05 19:02:40,588.0
'02081,"('Apgar', 'Logan', 'SunPoint', 'StMary')",11415.0,2023-07-05 07:17:12,2023-07-05 14:27:57,430.75
'02091,"('Apgar', 'LakeMcDonald', 'Logan', 'Waterfalls', 'RisingSun', 'SunPoint', 'Logan', 'LakeMcDonald', 'Apgar')",11715.0,2023-07-05 07:44:47,2023-07-05 15:38:02,473.25
'02101,"('Apgar', 'Logan', 'StMary')",5940.0,2023-07-05 08:07:35,2023-07-05 23:22:02,914.45
'02111,"('Apgar', 'LakeMcDonald', 'Logan', 'Waterfalls', 'RisingSun', 'SunPoint', 'Logan', 'LakeMcDonald', 'Apgar')",13200.0,2023-07-05 07:21:58,2023-07-05 15:32:43,490.75
'02141,"('Logan',)",9855.0,2023-07-05 09:51:50,2023-07-05 12:55:35,183.75
'02161,"('Logan', 'Waterfalls', 'SunPoint')",2885.0,2023-07-05 10:44:08,2023-07-05 12:16:17,92.15
'02171,"('Avalanche',)",22439.0,2023-07-05 08:22:44,2023-07-05 15:19:14,416.5
'02181,"('Apgar', 'LakeMcDonald', 'Logan', 'Waterfalls', 'SunPoint', 'Logan', 'Apgar')",24582.0,2023-07-05 07:32:05,2023-07-06 00:32:08,1020.05
'02191,"('Logan', 'Waterfalls')",18660.0,2023-07-05 09:10:58,2023-07-05 16:21:43,430.75
'02201,"('Avalanche', 'Logan', 'Waterfalls', 'SunPoint')",18930.0,2023-07-05 08:13:14,2023-07-05 16:31:29,498.25
'02211,"('Avalanche', 'Apgar')",20580.0,2023-07-05 07:56:45,2023-07-05 14:09:45,373.0
'02221,"('Avalanche', 'Logan', 'Avalanche', 'Apgar')",33097.0,2023-07-05 07:58:54,2023-07-05 23:56:20,957.4333333333333
'02231,"('Avalanche', 'Apgar')",6375.0,2023-07-05 07:45:43,2023-07-05 16:49:43,544.0
'02241,"('RisingSun', 'Waterfalls', 'RisingSun', 'Logan')",12795.0,2023-07-05 09:55:39,2023-07-05 16:23:09,387.5
'02251,"('Apgar',)",15405.0,2023-07-05 09:04:44,2023-07-05 13:23:14,258.5
'02271,"('Apgar', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald')",30612.0,2023-07-05 07:14:43,2023-07-05 17:29:51,615.1333333333333
'02281,"('Avalanche', 'Apgar')",18090.0,2023-07-05 07:53:02,2023-07-05 15:25:17,452.25
'02291,"('Apgar', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald', 'Apgar')",32147.0,2023-07-05 07:13:58,2023-07-05 23:01:26,947.4666666666667
'02301,"('Loop', 'Logan', 'SunPoint', 'Logan', 'Apgar')",20220.0,2023-07-05 09:08:10,2023-07-05 15:42:10,394.0
'02321,"('Waterfalls', 'SunPoint', 'RisingSun', 'StMary')",6323.0,2023-07-05 09:45:33,2023-07-05 14:54:27,308.9
'02331,"('Apgar', 'Loop', 'Logan', 'Waterfalls', 'SunPoint', 'RisingSun', 'StMary')",18405.0,2023-07-05 08:03:37,2023-07-05 22:32:29,868.8666666666667
'02341,"('Loop', 'Logan', 'Loop')",33105.0,2023-07-05 09:04:46,2023-07-05 18:50:16,585.5
'02351,"('LakeMcDonald', 'Logan', 'Waterfalls', 'StMary')",7190.0,2023-07-05 08:42:14,2023-07-05 13:26:16,284.03333333333336
'02361,"('Apgar',)",18930.0,2023-07-05 08:25:45,2023-07-05 14:10:30,344.75
'02411,"('Apgar',)",26664.0,2023-07-05 07:33:07,2023-07-05 17:59:05,625.9666666666667
'02421,"('Apgar', 'LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",19770.0,2023-07-05 08:52:49,2023-07-05 15:30:34,397.75
'02431,"('Apgar', 'Logan', 'LakeMcDonald')",9313.0,2023-07-05 08:54:44,2023-07-05 16:59:34,484.8333333333333
'02441,"('Avalanche', 'LakeMcDonald', 'Logan', 'Waterfalls')",21900.0,2023-07-05 09:17:09,2023-07-05 17:05:24,468.25
'02451,"('Logan', 'SunPoint', 'RisingSun', 'StMary')",6001.0,2023-07-05 09:05:23,2023-07-05 12:04:53,179.5
'02461,"('Logan', 'Avalanche')",15120.0,2023-07-05 08:19:37,2023-07-05 15:27:22,427.75
'02471,"('LakeMcDonald', 'Logan', 'SunPoint', 'Waterfalls')",11071.0,2023-07-05 08:33:35,2023-07-05 14:58:05,384.5
'02481,"('LakeMcDonald', 'Loop', 'Logan')",2192.0,2023-07-05 08:51:24,2023-07-05 10:47:41,116.28333333333333
'02501,(),0.0,,,
'02511,"('Apgar',)",20265.0,2023-07-05 07:40:56,2023-07-05 14:04:11,383.25
'02521,"('Apgar', 'LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",32835.0,2023-07-05 08:28:16,2023-07-05 20:34:41,726.4166666666666
'02531,"('Avalanche', 'Apgar')",7980.0,2023-07-05 08:15:22,2023-07-06 01:09:49,1014.45
'02541,"('Avalanche', 'Apgar')",19922.0,2023-07-05 08:11:34,2023-07-05 16:17:36,486.03333333333336
'02551,"('Avalanche', 'Logan', 'SunPoint', 'RisingSun', 'Waterfalls', 'RisingSun', 'StMary')",48269.0,2023-07-05 09:27:54,2023-07-06 02:10:09,1002.25
'03031,"('StMary', 'RisingSun', 'Waterfalls', 'Logan', 'Waterfalls', 'StMary')",16755.0,2023-07-06 11:43:11,2023-07-06 19:01:56,438.75
'03041,"('Apgar',)",11475.0,2023-07-05 07:56:04,2023-07-05 14:06:34,370.5
'03101,"('Logan',)",4665.0,2023-07-06 12:42:17,2023-07-06 14:03:02,80.75
'03131,(),0.0,,,
'03161,"('RisingSun', 'SunPoint', 'Waterfalls', 'StMary')",12276.0,2023-07-06 10:38:00,2023-07-06 15:05:36,267.6
'03191,"('StMary',)",2190.0,2023-07-06 12:07:51,2023-07-06 12:53:36,45.75
'03201,"('SunPoint', 'Waterfalls', 'Logan')",13210.0,2023-07-06 12:49:39,2023-07-06 17:54:19,304.6666666666667
'03311,"('Logan',)",3825.0,2023-07-05 08:08:36,2023-07-05 09:26:06,77.5
'03411,"('SunPoint', 'Waterfalls', 'RisingSun')",5444.0,2023-07-06 12:58:01,2023-07-06 15:17:16,139.25
'03471,"('RisingSun', 'SunPoint', 'Waterfalls', 'Logan')",14781.0,2023-07-06 13:12:22,2023-07-06 18:21:28,309.1
'0355,"('Logan', 'Loop', 'Apgar')",2738.0,2023-07-12 17:44:46,2023-07-12 20:35:09,170.38333333333333
'03551,"('RisingSun', 'Logan', 'SunPoint')",11910.0,2023-07-06 11:28:16,2023-07-06 16:41:46,313.5
'04051,"('LakeMcDonald', 'Avalanche', 'Logan', 'Loop')",8025.0,2023-07-07 15:39:45,2023-07-07 19:33:15,233.5
'04301,"('Loop', 'Logan', 'SunPoint', 'Logan', 'Apgar')",20220.0,2023-07-05 09:08:10,2023-07-05 15:42:10,394.0
'05011,"('Apgar', 'SunPoint')",825.0,2023-07-10 09:07:28,2023-07-10 12:07:02,179.56666666666666
'05041,"('Avalanche',)",9150.0,2023-07-10 07:57:06,2023-07-10 10:49:21,172.25
'05071,"('Logan', 'LakeMcDonald')",16995.0,2023-07-10 11:42:29,2023-07-10 18:40:29,418.0
'05081,"('Logan', 'Apgar')",9210.0,2023-07-10 10:24:08,2023-07-10 18:54:19,510.18333333333334
'05091,"('Avalanche', 'Loop', 'Logan', 'Loop', 'Logan')",2864.0,2023-07-10 09:05:40,2023-07-10 12:45:40,220.0
'05121,"('Apgar', 'LakeMcDonald', 'Logan')",12518.0,2023-07-10 08:38:05,2023-07-10 16:44:58,486.8833333333333
'05131,"('Avalanche', 'Loop', 'StMary', 'Waterfalls', 'SunPoint', 'Apgar')",9975.0,2023-07-10 07:58:20,2023-07-10 17:05:50,547.5
'05141,"('LakeMcDonald', 'Avalanche', 'Loop', 'Logan', 'Apgar')",10581.0,2023-07-10 09:48:07,2023-07-10 17:06:28,438.35
'05171,"('Apgar', 'Logan', 'LakeMcDonald', 'Apgar')",11655.0,2023-07-10 09:12:38,2023-07-10 16:03:23,410.75
'05211,"('Avalanche', 'Apgar')",20580.0,2023-07-05 07:56:45,2023-07-05 14:09:45,373.0
'05221,"('Logan', 'Apgar')",4878.0,2023-07-11 11:49:01,2023-07-11 15:12:46,203.75
'05231,"('Apgar', 'Loop', 'Logan')",8340.0,2023-07-10 08:22:37,2023-07-10 12:45:52,263.25
'05251,"('Logan', 'Waterfalls')",11369.0,2023-07-10 09:31:32,2023-07-10 14:31:17,299.75
'05261,"('Logan', 'RisingSun')",2040.0,2023-07-10 09:36:29,2023-07-10 15:23:59,347.5
'05291,"('Loop', 'Logan', 'Loop', 'Avalanche', 'LakeMcDonald')",30690.0,2023-07-10 08:18:48,2023-07-10 17:03:48,525.0
'05311,"('Avalanche', 'Apgar')",46690.0,2023-07-10 07:53:46,2023-07-11 01:25:11,1051.4166666666667
'05331,"('StMary',)",600.0,2023-07-06 09:38:30,2023-07-06 09:48:30,10.0
'05341,"('SunPoint', 'Waterfalls', 'SunPoint', 'StMary', 'Logan', 'Avalanche')",6389.0,2023-07-10 11:35:03,2023-07-10 15:48:47,253.73333333333332
'05351,"('StMary',)",420.0,2023-07-06 09:35:43,2023-07-06 09:42:43,7.0
'05361,"('Loop', 'Logan')",8130.0,2023-07-10 07:53:31,2023-07-10 10:40:46,167.25
'05401,"('Avalanche', 'Apgar')",3842.0,2023-07-10 08:50:55,2023-07-10 21:04:38,733.7166666666667
'05441,"('Apgar',)",330.0,2023-07-10 09:34:19,2023-07-10 09:39:49,5.5
'05451,"('Logan', 'SunPoint', 'RisingSun', 'StMary')",6001.0,2023-07-05 09:05:23,2023-07-05 12:04:53,179.5
'05461,"('Logan', 'Waterfalls')",7076.0,2023-07-10 09:22:51,2023-07-10 12:19:47,176.93333333333334
'05511,"('Waterfalls', 'Logan')",18809.0,2023-07-10 10:47:08,2023-07-10 17:00:08,373.0
'05541,"('Apgar', 'LakeMcDonald', 'Logan', 'StMary', 'Waterfalls', 'Logan', 'Waterfalls', 'Apgar')",13853.0,2023-07-10 08:19:54,2023-07-10 17:11:36,531.7
'06021,"('Apgar', 'LakeMcDonald', 'StMary')",2685.0,2023-07-11 11:13:46,2023-07-11 13:58:16,164.5
'06041,"('Avalanche', 'Loop', 'Logan', 'Avalanche')",10740.0,2023-07-11 11:39:04,2023-07-11 16:29:04,290.0
'06061,"('Avalanche', 'Logan', 'SunPoint', 'StMary')",1143.0,2023-07-11 10:48:26,2023-07-11 12:43:29,115.05
'06111,"('LakeMcDonald', 'Avalanche', 'Logan')",675.0,2023-07-11 11:56:32,2023-07-11 13:56:32,120.0
'06131,"('Apgar', 'Loop', 'Logan')",1710.0,2023-07-11 11:32:45,2023-07-11 13:18:15,105.5
'06151,"('LakeMcDonald',)",345.0,2023-07-11 11:48:49,2023-07-11 11:54:34,5.75
'06171,"('Apgar', 'LakeMcDonald')",14365.0,2023-07-11 10:13:10,2023-07-11 16:40:49,387.65
'06181,"('Apgar', 'Avalanche', 'Loop', 'Waterfalls')",4296.0,2023-07-11 11:11:22,2023-07-11 15:46:33,275.18333333333334
'06261,"('Logan', 'Waterfalls')",8191.0,2023-07-11 14:39:48,2023-07-11 17:06:03,146.25
'06271,"('Avalanche',)",10574.0,2023-07-11 10:56:41,2023-07-11 14:22:40,205.98333333333332
'06291,"('Avalanche',)",12121.0,2023-07-11 11:48:51,2023-07-11 15:15:21,206.5
'06301,"('Avalanche', 'SunPoint', 'Logan')",28868.0,2023-07-10 07:44:32,2023-07-10 18:08:10,623.6333333333333
'06351,"('StMary',)",1590.0,2023-07-11 13:16:29,2023-07-11 13:42:59,26.5
'06381,"('LakeMcDonald', 'RisingSun')",5325.0,2023-07-11 11:38:51,2023-07-11 15:01:59,203.13333333333333
'06421,"('Avalanche', 'Loop', 'Logan')",24659.0,2023-07-11 12:12:47,2023-07-11 19:35:00,442.21666666666664
'06441,"('LakeMcDonald', 'Avalanche', 'Loop', 'Logan', 'RisingSun')",20250.0,2023-07-11 11:42:59,2023-07-11 20:27:29,524.5
'06451,"('LakeMcDonald', 'Avalanche', 'Logan')",5610.0,2023-07-11 10:49:27,2023-07-11 13:59:57,190.5
'06461,"('Apgar',)",2175.0,2023-07-11 10:18:18,2023-07-11 10:56:48,38.5
'06481,"('Avalanche',)",15601.0,2023-07-11 11:57:19,2023-07-11 16:38:34,281.25
'06511,"('Logan', 'Avalanche', 'Apgar')",2760.0,2023-07-12 17:48:29,2023-07-12 21:08:14,199.75
'06521,"('Apgar', 'LakeMcDonald', 'Logan', 'LakeMcDonald')",15256.0,2023-07-11 10:27:22,2023-07-11 18:00:32,453.1666666666667
'06531,"('LakeMcDonald', 'Apgar')",19485.0,2023-07-11 11:32:32,2023-07-11 17:24:32,352.0
'06541,"('LakeMcDonald', 'Apgar')",17840.0,2023-07-11 10:36:27,2023-07-11 18:25:02,468.5833333333333
'07041,"('Logan',)",1245.0,2023-07-12 18:13:22,2023-07-12 18:34:07,20.75
'07091,"('Waterfalls',)",390.0,2023-07-12 16:10:37,2023-07-12 16:17:07,6.5
'07101,"('Logan',)",7185.0,2023-07-12 16:08:25,2023-07-12 18:14:25,126.0
'07121,"('Apgar',)",18939.0,2023-07-12 20:54:56,2023-07-13 04:31:03,456.1166666666667
'07131,"('RisingSun', 'Apgar')",3151.0,2023-07-12 15:17:29,2023-07-12 18:54:30,217.01666666666668
'07161,"('Logan', 'Apgar')",1860.0,2023-07-12 16:44:37,2023-07-12 18:38:37,114.0
'07171,"('Logan',)",2160.0,2023-07-12 16:39:13,2023-07-12 17:15:13,36.0
'07181,"('Logan',)",3990.0,2023-07-12 16:51:36,2023-07-12 17:59:51,68.25
'07211,"('Logan',)",2940.0,2023-07-12 17:41:02,2023-07-12 18:44:32,63.5
'07221,"('Apgar',)",2329.0,2023-07-12 18:00:26,2023-07-12 18:56:23,55.95
'07231,"('Logan', 'StMary')",42975.0,2023-07-12 19:43:19,2023-07-13 10:23:22,880.05
'07251,"('Apgar',)",59535.0,2023-07-12 18:53:02,2023-07-13 11:25:17,992.25
'07261,"('Waterfalls', 'StMary')",8086.0,2023-07-12 17:40:50,2023-07-12 20:36:35,175.75
'07271,(),0.0,,,
'07301,"('Waterfalls',)",465.0,2023-07-12 17:26:55,2023-07-12 17:34:55,8.0
'07321,(),0.0,,,
'07341,"('StMary',)",1335.0,2023-07-12 17:15:13,2023-07-12 17:37:28,22.25
'07351,"('Waterfalls', 'Logan', 'Apgar')",3510.0,2023-07-12 16:54:38,2023-07-12 19:18:23,143.75
'07361,"('LakeMcDonald',)",50928.0,2023-07-12 17:15:20,2023-07-13 09:29:08,973.8
'07391,"('SunPoint', 'Waterfalls', 'SunPoint')",5880.0,2023-07-06 12:07:23,2023-07-06 15:42:38,215.25
'07411,"('Apgar',)",1125.0,2023-07-13 08:51:02,2023-07-13 09:09:47,18.75
'07441,"('SunPoint', 'Waterfalls', 'SunPoint')",1395.0,2023-07-12 15:43:09,2023-07-12 16:36:24,53.25
'07451,"('Apgar',)",8345.0,2023-07-12 20:02:12,2023-07-13 05:25:58,563.7666666666667
'07461,"('StMary',)",7065.0,2023-07-12 19:52:48,2023-07-12 21:50:33,117.75
'07521,"('Loop', 'Apgar')",465.0,2023-07-12 17:43:28,2023-07-12 18:42:43,59.25
'07541,"('Apgar',)",149.0,2023-07-12 18:27:32,2023-07-12 18:30:01,2.4833333333333334
'08231,"('RisingSun', 'SunPoint', 'Waterfalls', 'Logan', 'RisingSun')",4260.0,2023-07-14 14:55:38,2023-07-14 17:49:05,173.45
'09041,"('RisingSun', 'SunPoint', 'Logan', 'Apgar')",21180.0,2023-07-16 09:22:32,2023-07-16 17:10:17,467.75
'09071,"('Waterfalls',)",8640.0,2023-07-16 08:39:32,2023-07-16 12:42:32,243.0
'09081,"('Logan',)",180.0,2023-07-16 08:46:44,2023-07-16 08:49:44,3.0
'09111,"('SunPoint', 'Waterfalls', 'Apgar')",14620.0,2023-07-16 08:17:50,2023-07-16 17:37:45,559.9166666666666
'09151,"('Avalanche', 'LakeMcDonald', 'Apgar')",12390.0,2023-07-16 10:33:50,2023-07-16 14:39:50,246.0
'09161,"('SunPoint', 'Logan')",7140.0,2023-07-16 08:55:04,2023-07-16 16:52:04,477.0
'09191,"('StMary',)",44085.0,2023-07-16 14:02:29,2023-07-17 02:17:14,734.75
'09201,"('Apgar',)",480.0,2023-07-16 09:44:01,2023-07-16 09:52:16,8.25
'09281,"('RisingSun', 'Waterfalls', 'RisingSun', 'Waterfalls', 'RisingSun')",5190.0,2023-07-16 08:03:37,2023-07-16 11:49:37,226.0
'09291,"('Avalanche', 'Apgar')",2521.0,2023-07-16 09:35:14,2023-07-16 10:54:14,79.0
'09331,"('RisingSun',)",2550.0,2023-07-16 08:11:06,2023-07-16 08:53:36,42.5
'09341,"('Avalanche', 'LakeMcDonald', 'Apgar')",18901.0,2023-07-16 10:03:33,2023-07-16 16:20:48,377.25
'09351,"('Waterfalls',)",840.0,2023-07-16 08:39:52,2023-07-16 09:15:37,35.75
'09381,"('SunPoint', 'Waterfalls', 'Logan', 'LakeMcDonald', 'Apgar')",18676.0,2023-07-16 07:56:59,2023-07-16 16:25:44,508.75
'09401,"('SunPoint', 'Waterfalls', 'SunPoint')",14280.0,2023-07-16 09:39:01,2023-07-16 14:50:46,311.75
'09421,"('Avalanche', 'LakeMcDonald', 'Apgar', 'LakeMcDonald')",53874.0,2023-07-16 10:41:40,2023-07-17 03:28:52,1007.2
'09471,"('SunPoint', 'Avalanche', 'LakeMcDonald')",510.0,2023-07-16 09:41:50,2023-07-16 11:54:50,133.0
'09501,"('Loop', 'Avalanche', 'Apgar')",11521.0,2023-07-16 10:06:47,2023-07-16 15:25:56,319.15
'10081,"('Apgar', 'Loop', 'Logan')",2670.0,2023-07-18 16:40:23,2023-07-18 19:52:53,192.5
'10091,"('RisingSun', 'StMary')",750.0,2023-07-16 09:41:39,2023-07-16 10:03:39,22.0
'10231,"('StMary',)",12929.0,2023-07-19 06:10:34,2023-07-19 09:46:03,215.48333333333332
'10241,"('RisingSun', 'StMary')",750.0,2023-07-16 09:41:41,2023-07-16 10:03:41,22.0
'10331,"('Apgar',)",2312.0,2023-07-18 16:12:17,2023-07-18 16:51:04,38.78333333333333
'10361,"('Apgar',)",495.0,2023-07-18 16:05:50,2023-07-18 16:18:43,12.883333333333333
'10391,"('Logan',)",6300.0,2023-07-18 18:38:05,2023-07-18 20:26:35,108.5
'10471,"('Logan',)",10110.0,2023-07-18 18:42:24,2023-07-18 21:41:09,178.75
'10531,"('Apgar',)",345.0,2023-07-18 17:38:02,2023-07-18 17:43:47,5.75
'11111,"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",41333.0,2023-07-20 11:29:21,2023-07-21 03:00:16,930.9166666666666
'11331,"('LakeMcDonald', 'Avalanche', 'Logan', 'Avalanche', 'LakeMcDonald')",20251.0,2023-07-20 10:18:23,2023-07-20 16:47:53,389.5
'11411,"('LakeMcDonald', 'Avalanche', 'Logan', 'Avalanche', 'LakeMcDonald', 'Apgar')",29406.0,2023-07-20 10:56:22,2023-07-21 03:19:18,982.9333333333333
'11421,"('LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",16260.0,2023-07-20 10:20:02,2023-07-20 18:40:38,500.6
'11531,"('Apgar', 'LakeMcDonald', 'Avalanche', 'LakeMcDonald', 'Apgar')",37854.0,2023-07-20 09:50:33,2023-07-21 03:44:03,1073.5
'12011,"('Logan', 'Waterfalls', 'StMary')",24181.0,2023-07-21 09:27:09,2023-07-21 17:17:54,470.75
'12021,"('Logan',)",62445.0,2023-07-21 09:11:19,2023-07-22 02:32:49,1041.5
'12031,"('Logan',)",31425.0,2023-07-21 09:29:32,2023-07-21 19:11:35,582.05
'12091,"('StMary',)",165.0,2023-07-21 09:07:04,2023-07-21 09:09:49,2.75
'12151,"('StMary', 'RisingSun', 'Logan', 'Avalanche', 'Logan', 'StMary')",25093.0,2023-07-21 09:48:51,2023-07-21 22:49:49,780.9666666666667
'12161,"('RisingSun', 'Logan', 'Avalanche', 'Logan')",7785.0,2023-07-21 10:39:05,2023-07-21 14:52:20,253.25
'12251,"('Logan',)",21692.0,2023-07-21 08:59:59,2023-07-21 15:10:32,370.55
'12301,"('RisingSun', 'Logan', 'StMary')",44854.0,2023-07-21 11:06:43,2023-07-22 01:02:16,835.55
'12401,"('RisingSun', 'SunPoint', 'Waterfalls', 'SunPoint', 'RisingSun', 'StMary')",11251.0,2023-07-21 09:27:59,2023-07-22 03:15:37,1067.6333333333334
'12501,"('Logan', 'Waterfalls', 'StMary')",24615.0,2023-07-21 09:02:42,2023-07-21 17:58:42,536.0
