ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'02011,"('Red_rock',)",645.0,2023-07-05 11:36:32,2023-07-05 11:48:32,12.0
'02031,"('Lunch_creek_parking', 'Many_glacier_trail', 'Moose_country')",8882.0,2023-07-05 13:10:28,2023-07-05 18:00:15,289.78333333333336
'02081,"('Big_bend', 'Red_rock')",1290.0,2023-07-05 08:45:27,2023-07-05 10:02:27,77.0
'02091,"('Big_bend', 'Moose_country')",630.0,2023-07-05 08:49:17,2023-07-05 14:08:02,318.75
'02111,"('Moose_country',)",510.0,2023-07-05 08:49:13,2023-07-05 08:59:43,10.5
'02141,"('Red_rock',)",1050.0,2023-07-05 13:33:50,2023-07-05 13:51:20,17.5
'02161,"('Moose_country',)",3396.0,2023-07-05 09:30:11,2023-07-05 10:26:47,56.6
'02181,"('Many_glacier_trail', 'Wild_goose_island')",8436.0,2023-07-05 11:43:54,2023-07-05 14:52:45,188.85
'02201,"('Big_bend', 'Lunch_creek', 'Wild_goose_island')",1065.0,2023-07-05 14:27:59,2023-07-05 16:53:14,145.25
'02241,"('Many_glacier_trail',)",10425.0,2023-07-05 17:26:39,2023-07-05 20:20:24,173.75
'02281,"('Big_bend',)",330.0,2023-07-05 13:27:02,2023-07-05 13:32:32,5.5
'02301,"('Big_bend',)",180.0,2023-07-05 09:31:10,2023-07-05 09:34:10,3.0
'02331,"('Lunch_creek_parking', 'Oberlin_bend')",1710.0,2023-07-05 10:28:14,2023-07-05 12:06:59,98.75
'02351,"('Wild_goose_island',)",255.0,2023-07-05 12:51:32,2023-07-05 12:57:17,5.75
'02431,"('Big_bend',)",375.0,2023-07-05 14:51:19,2023-07-05 14:57:34,6.25
'02441,"('Big_bend', 'Moose_country')",450.0,2023-07-05 09:05:54,2023-07-05 15:23:24,377.5
'02451,"('Lunch_creek_parking',)",1125.0,2023-07-05 09:15:23,2023-07-05 09:34:08,18.75
'02471,"('Moose_country', 'Red_rock')",1080.0,2023-07-05 09:45:35,2023-07-05 16:07:05,381.5
'02481,"('Oberlin_bend',)",539.0,2023-07-05 10:29:26,2023-07-05 10:38:41,9.25
'02501,"('Big_bend', 'Siyeh_bend_trail')",23670.0,2023-07-05 08:44:16,2023-07-05 16:34:31,470.25
'03131,"('Siyeh_bend_trail',)",4305.0,2023-07-05 10:43:34,2023-07-05 11:55:19,71.75
'03191,"('Many_glacier_trail',)",20980.0,2023-07-06 13:31:36,2023-07-06 19:21:16,349.6666666666667
'03311,"('Lunch_creek_parking', 'Many_glacier_trail')",45148.0,2023-07-05 08:16:51,2023-07-06 01:08:34,1011.7166666666667
'0355,"('Red_rock',)",795.0,2023-07-12 19:13:24,2023-07-12 19:26:39,13.25
'04301,"('Big_bend',)",180.0,2023-07-05 09:31:10,2023-07-05 09:34:10,3.0
'05011,"('Big_bend',)",795.0,2023-07-10 10:53:47,2023-07-10 11:12:02,18.25
'05071,"('Big_bend', 'Moose_country')",1380.0,2023-07-10 11:01:59,2023-07-10 18:02:14,420.25
'05081,"('Many_glacier_trail', 'Red_rock')",3045.0,2023-07-10 15:27:38,2023-07-10 17:34:28,126.83333333333333
'05121,"('Big_bend', 'Moose_country', 'Red_rock')",1965.0,2023-07-10 12:40:43,2023-07-10 14:07:58,87.25
'05141,"('Moose_country',)",300.0,2023-07-10 11:43:41,2023-07-10 11:48:41,5.0
'05171,"('Big_bend', 'Moose_country')",915.0,2023-07-10 10:10:38,2023-07-10 12:07:23,116.75
'05221,"('Big_bend',)",300.0,2023-07-11 12:57:31,2023-07-11 13:24:14,26.716666666666665
'05231,"('Many_glacier_trail', 'Moose_country', 'Oberlin_bend')",8160.0,2023-07-10 09:11:52,2023-07-10 15:50:07,398.25
'05251,"('Oberlin_bend',)",1306.0,2023-07-10 09:55:46,2023-07-10 10:18:47,23.016666666666666
'05261,"('Lunch_creek', 'Siyeh_bend_parking', 'Siyeh_bend_trail')",11221.0,2023-07-10 10:11:44,2023-07-10 14:14:29,242.75
'05361,"('Many_glacier_trail',)",2205.0,2023-07-10 12:19:31,2023-07-10 12:56:16,36.75
'05401,"('Big_bend', 'Many_glacier_trail', 'Moose_country')",12446.0,2023-07-10 08:38:10,2023-07-10 18:56:51,618.6833333333333
'05441,"('Many_glacier_trail',)",6420.0,2023-07-10 12:19:35,2023-07-10 14:06:35,107.0
'05451,"('Lunch_creek_parking',)",1125.0,2023-07-05 09:15:23,2023-07-05 09:34:08,18.75
'05461,"('Red_rock',)",1080.0,2023-07-10 13:04:47,2023-07-10 13:40:02,35.25
'05541,"('Lunch_creek', 'Lunch_creek_parking', 'Wild_goose_island')",644.0,2023-07-10 11:23:27,2023-07-10 14:59:21,215.9
'06061,"('Wild_goose_island',)",273.0,2023-07-11 12:20:19,2023-07-11 12:24:52,4.55
'06111,"('Big_bend', 'Moose_country', 'Red_rock')",1230.0,2023-07-11 12:19:47,2023-07-11 13:38:47,79.0
'06131,"('Wild_goose_island',)",270.0,2023-07-11 13:42:15,2023-07-11 13:46:45,4.5
'06181,"('Red_rock',)",630.0,2023-07-11 13:06:19,2023-07-11 13:16:49,10.5
'06301,"('Big_bend', 'Oberlin_bend')",2056.0,2023-07-10 12:43:39,2023-07-10 18:56:10,372.51666666666665
'06351,"('Wild_goose_island',)",1035.0,2023-07-11 12:47:29,2023-07-11 13:04:44,17.25
'06381,"('Big_bend', 'Moose_country')",480.0,2023-07-11 11:51:51,2023-07-11 12:45:51,54.0
'06421,"('Moose_country',)",690.0,2023-07-11 11:54:02,2023-07-11 12:05:32,11.5
'06451,"('Moose_country', 'Red_rock')",915.0,2023-07-11 11:42:27,2023-07-11 12:58:42,76.25
'06521,"('Red_rock',)",720.0,2023-07-11 16:16:32,2023-07-11 16:28:32,12.0
'07231,"('Oberlin_bend', 'Wild_goose_island')",587.0,2023-07-12 17:29:51,2023-07-12 19:42:04,132.21666666666667
'07271,"('Wild_goose_island',)",285.0,2023-07-12 17:46:04,2023-07-12 17:51:19,5.25
'07321,"('Red_rock',)",1050.0,2023-07-12 16:55:07,2023-07-12 17:12:37,17.5
'07341,"('Lunch_creek_parking', 'Oberlin_bend')",1470.0,2023-07-12 16:14:43,2023-07-12 16:45:58,31.25
'07411,"('Fish_creek',)",53065.0,2023-07-12 17:45:35,2023-07-13 08:30:30,884.9166666666666
'07451,"('Red_rock',)",419.0,2023-07-12 18:39:40,2023-07-12 18:56:27,16.783333333333335
'09111,"('Big_bend', 'Lunch_creek_parking', 'Red_rock', 'Wild_goose_island')",4290.0,2023-07-16 07:56:35,2023-07-16 13:00:05,303.5
'09151,"('Big_bend', 'Oberlin_bend', 'Red_rock', 'Wild_goose_island')",2520.0,2023-07-16 08:53:50,2023-07-16 16:02:05,428.25
'09161,"('Red_rock', 'Wild_goose_island')",1125.0,2023-07-16 11:37:34,2023-07-16 15:01:04,203.5
'09191,"('Siyeh_bend_parking', 'Siyeh_bend_trail')",17146.0,2023-07-16 08:42:29,2023-07-16 13:31:14,288.75
'09291,"('Big_bend', 'Moose_country')",495.0,2023-07-16 08:41:29,2023-07-16 10:20:29,99.0
'09341,"('Red_rock',)",450.0,2023-07-16 09:52:48,2023-07-16 10:00:18,7.5
'09381,"('Lunch_creek_parking',)",121.0,2023-07-16 10:03:58,2023-07-16 10:05:59,2.0166666666666666
'09471,"('Big_bend', 'Red_rock')",1275.0,2023-07-16 10:28:05,2023-07-16 11:36:20,68.25
'09501,"('Big_bend', 'Red_rock')",990.0,2023-07-16 09:46:32,2023-07-16 11:19:02,92.5
'10081,"('Red_rock',)",1320.0,2023-07-18 18:15:08,2023-07-18 18:37:08,22.0
'10231,"('Big_bend', 'Moose_country')",1170.0,2023-07-18 17:58:04,2023-07-18 19:03:49,65.75
'10471,"('Big_bend',)",405.0,2023-07-18 21:49:24,2023-07-18 21:57:39,8.25
'12151,"('Shuttle_Siyeh_bend',)",150.0,2023-07-21 10:27:06,2023-07-21 10:29:36,2.5
'1321,"('Big_bend', 'Moose_country', 'Siyeh_bend_parking', 'Siyeh_bend_trail')",13725.0,2023-07-02 15:22:11,2023-07-02 20:38:12,316.01666666666665
'14011,"('Big_bend', 'Siyeh_bend_parking', 'Wild_goose_island')",541.0,2023-07-26 16:57:40,2023-07-26 17:51:55,54.25
'14081,"('Siyeh_bend_parking',)",150.0,2023-07-26 17:06:21,2023-07-26 17:08:51,2.5
'14111,"('Oberlin_bend',)",390.0,2023-07-26 18:14:21,2023-07-26 18:20:51,6.5
'14171,"('Big_bend', 'Fish_creek', 'Oberlin_bend', 'Red_rock', 'Wild_goose_island')",49215.0,2023-07-26 17:47:03,2023-07-27 11:40:18,1073.25
'14181,"('Oberlin_bend',)",270.0,2023-07-26 18:49:30,2023-07-26 18:54:00,4.5
'14191,"('Big_bend', 'Siyeh_bend_trail')",390.0,2023-07-26 16:16:02,2023-07-26 17:09:32,53.5
'14271,"('Big_bend', 'Lunch_creek_parking', 'Oberlin_bend', 'Siyeh_bend_parking', 'Wild_goose_island')",1771.0,2023-07-26 16:40:29,2023-07-26 18:51:59,131.5
'14321,"('Wild_goose_island',)",120.0,2023-07-26 17:39:34,2023-07-26 17:41:34,2.0
'14411,"('Moose_country',)",286.0,2023-07-26 18:01:15,2023-07-26 18:09:31,8.266666666666667
'14431,"('Siyeh_bend_parking', 'Siyeh_bend_trail')",1245.0,2023-07-26 16:42:07,2023-07-26 17:10:22,28.25
'14441,"('Big_bend', 'Red_rock')",900.0,2023-07-26 18:11:22,2023-07-26 18:52:52,41.5
'14521,"('Moose_country',)",135.0,2023-07-26 21:03:59,2023-07-26 21:06:14,2.25
'14541,"('Big_bend',)",435.0,2023-07-26 18:53:36,2023-07-26 19:00:51,7.25
'15321,"('Big_bend',)",120.0,2023-07-27 14:59:00,2023-07-27 15:01:00,2.0
'16011,"('Big_bend', 'Lunch_creek_parking')",570.0,2023-07-30 19:04:22,2023-07-30 19:31:52,27.5
'16111,"('Fish_creek',)",3960.0,2023-07-30 16:00:08,2023-07-30 17:06:08,66.0
'16221,"('Red_rock',)",1080.0,2023-07-30 20:05:00,2023-07-30 20:23:00,18.0
'16321,"('Many_glacier_trail',)",2760.0,2023-07-30 18:47:08,2023-07-30 19:33:08,46.0
'16411,"('Lunch_creek_parking',)",135.0,2023-07-30 19:04:29,2023-07-30 19:06:44,2.25
'16421,"('Fish_creek',)",64440.0,2023-07-30 17:52:21,2023-07-31 11:46:21,1074.0
'16441,"('Big_bend',)",165.0,2023-07-30 17:56:13,2023-07-30 17:58:58,2.75
'16501,"('Oberlin_bend',)",120.0,2023-07-30 19:35:24,2023-07-30 19:37:24,2.0
'17081,"('Wild_goose_island',)",480.0,2023-07-31 15:49:30,2023-07-31 15:57:30,8.0
'17141,"('Big_bend',)",450.0,2023-07-31 17:30:32,2023-07-31 17:38:02,7.5
'17221,"('Siyeh_bend_parking',)",255.0,2023-07-31 18:10:46,2023-07-31 18:15:01,4.25
'17231,"('Oberlin_bend',)",1170.0,2023-07-31 19:33:22,2023-07-31 19:52:52,19.5
'17321,"('Oberlin_bend',)",870.0,2023-07-31 17:07:29,2023-07-31 17:21:59,14.5
'17331,"('Big_bend', 'Red_rock')",1125.0,2023-07-31 16:34:16,2023-07-31 18:06:16,92.0
'17381,"('Big_bend', 'Siyeh_bend_parking')",465.0,2023-07-31 16:27:28,2023-07-31 17:05:13,37.75
'17461,"('Big_bend',)",120.0,2023-07-31 17:37:47,2023-07-31 17:39:47,2.0
'17511,"('Wild_goose_island',)",165.0,2023-07-31 15:49:06,2023-07-31 15:51:51,2.75
'17531,"('Oberlin_bend', 'Wild_goose_island')",780.0,2023-07-31 17:29:40,2023-07-31 21:01:40,212.0
'18131,"('Shuttle_Siyeh_bend',)",135.0,2023-08-01 08:57:44,2023-08-01 08:59:59,2.25
'20041,"('Big_bend', 'Lunch_creek', 'Lunch_creek_parking')",1785.0,2023-08-02 12:39:51,2023-08-02 13:49:36,69.75
'20071,"('Big_bend', 'Red_rock')",1770.0,2023-08-02 12:17:32,2023-08-02 14:43:02,145.5
'20161,"('Big_bend', 'Oberlin_bend', 'Wild_goose_island')",1392.0,2023-08-02 12:28:08,2023-08-02 16:54:05,265.95
'20181,"('Oberlin_bend',)",203.0,2023-08-02 11:17:29,2023-08-02 11:20:52,3.3833333333333333
'20201,"('Big_bend',)",1230.0,2023-08-02 13:40:33,2023-08-02 14:01:03,20.5
'20241,"('Big_bend',)",480.0,2023-08-02 12:51:47,2023-08-02 12:59:47,8.0
'22091,"('Siyeh_bend_trail',)",135.0,2023-08-06 14:15:22,2023-08-06 14:17:37,2.25
'22121,"('Red_eagle_trail',)",2295.0,2023-08-06 15:37:53,2023-08-06 16:16:38,38.75
'22261,"('Shuttle_Siyeh_bend', 'Siyeh_bend_trail', 'Siyeh_pass_trail')",18825.0,2023-08-06 08:48:34,2023-08-06 14:10:49,322.25
'22461,"('Siyeh_bend_trail', 'Siyeh_pass_trail')",21900.0,2023-08-06 09:45:32,2023-08-06 16:21:32,396.0
'25011,"('Big_bend',)",255.0,2023-08-08 13:44:22,2023-08-08 13:48:52,4.5
'25141,"('Moose_country',)",194.0,2023-08-08 11:38:08,2023-08-08 11:41:22,3.2333333333333334
'25171,"('Lunch_creek_parking',)",1515.0,2023-08-08 13:47:56,2023-08-08 19:48:58,361.03333333333336
'25181,"('Fish_creek',)",4674.0,2023-08-08 15:23:26,2023-08-08 16:42:35,79.15
'25201,"('Big_bend',)",765.0,2023-08-08 12:32:14,2023-08-08 12:44:59,12.75
'25241,"('Moose_country',)",360.0,2023-08-08 17:00:21,2023-08-08 17:06:21,6.0
'25291,"('Fish_creek',)",1275.0,2023-08-08 12:01:53,2023-08-08 12:23:08,21.25
'25331,"('Moose_country', 'Wild_goose_island')",645.0,2023-08-08 12:03:20,2023-08-08 13:39:50,96.5
'25391,"('Big_bend',)",315.0,2023-08-08 14:05:48,2023-08-08 14:11:03,5.25
'25431,"('Red_rock',)",225.0,2023-08-08 13:26:04,2023-08-08 13:29:49,3.75
